Epoch: [3][0/97], lr: 0.00800	Time 0.964 (0.964)	Data 0.657 (0.657)	Loss 4.6570 (4.6570)	Prec@1 67.969 (67.969)	Prec@5 93.750 (93.750)
Epoch: [3][10/97], lr: 0.00800	Time 0.292 (0.350)	Data 0.000 (0.069)	Loss 5.4238 (4.8961)	Prec@1 57.812 (63.636)	Prec@5 94.531 (94.247)
Epoch: [3][20/97], lr: 0.00800	Time 0.278 (0.318)	Data 0.000 (0.043)	Loss 6.0275 (4.9184)	Prec@1 59.375 (63.690)	Prec@5 91.406 (94.754)
Epoch: [3][30/97], lr: 0.00800	Time 0.284 (0.307)	Data 0.000 (0.034)	Loss 4.5383 (4.8861)	Prec@1 67.188 (64.012)	Prec@5 97.656 (94.657)
Epoch: [3][40/97], lr: 0.00800	Time 0.299 (0.303)	Data 0.001 (0.030)	Loss 5.6673 (4.8770)	Prec@1 57.031 (64.024)	Prec@5 93.750 (94.455)
Epoch: [3][50/97], lr: 0.00800	Time 0.283 (0.299)	Data 0.000 (0.027)	Loss 4.6581 (4.8038)	Prec@1 67.188 (64.737)	Prec@5 93.750 (94.623)
Epoch: [3][60/97], lr: 0.00800	Time 0.285 (0.298)	Data 0.001 (0.025)	Loss 5.3820 (4.7991)	Prec@1 58.594 (64.921)	Prec@5 94.531 (94.570)
Epoch: [3][70/97], lr: 0.00800	Time 0.277 (0.296)	Data 0.001 (0.023)	Loss 5.0227 (4.8132)	Prec@1 62.500 (64.877)	Prec@5 96.094 (94.509)
Epoch: [3][80/97], lr: 0.00800	Time 0.277 (0.295)	Data 0.002 (0.022)	Loss 4.2820 (4.7930)	Prec@1 69.531 (65.085)	Prec@5 95.312 (94.367)
Epoch: [3][90/97], lr: 0.00800	Time 0.277 (0.293)	Data 0.000 (0.021)	Loss 5.5204 (4.8066)	Prec@1 59.375 (65.161)	Prec@5 96.875 (94.402)
Epoch: [3][96/97], lr: 0.00800	Time 0.300 (0.293)	Data 0.000 (0.022)	Loss 4.6924 (4.7935)	Prec@1 71.186 (65.315)	Prec@5 95.763 (94.503)
Epoch: [4][0/97], lr: 0.01000	Time 0.993 (0.993)	Data 0.701 (0.701)	Loss 4.6062 (4.6062)	Prec@1 67.188 (67.188)	Prec@5 96.875 (96.875)
Epoch: [4][10/97], lr: 0.01000	Time 0.278 (0.355)	Data 0.000 (0.076)	Loss 4.1442 (4.5840)	Prec@1 70.312 (67.543)	Prec@5 95.312 (95.384)
Epoch: [4][20/97], lr: 0.01000	Time 0.279 (0.321)	Data 0.000 (0.047)	Loss 4.5543 (4.5948)	Prec@1 69.531 (67.225)	Prec@5 97.656 (95.350)
Epoch: [4][30/97], lr: 0.01000	Time 0.274 (0.310)	Data 0.000 (0.037)	Loss 4.2103 (4.6234)	Prec@1 70.312 (66.986)	Prec@5 94.531 (94.481)
Epoch: [4][40/97], lr: 0.01000	Time 0.285 (0.303)	Data 0.000 (0.032)	Loss 4.2383 (4.6791)	Prec@1 70.312 (66.559)	Prec@5 96.094 (94.588)
Epoch: [4][50/97], lr: 0.01000	Time 0.283 (0.300)	Data 0.000 (0.029)	Loss 5.3907 (4.6889)	Prec@1 63.281 (66.284)	Prec@5 94.531 (94.776)
Epoch: [4][60/97], lr: 0.01000	Time 0.283 (0.298)	Data 0.000 (0.027)	Loss 4.7277 (4.6584)	Prec@1 64.062 (66.611)	Prec@5 92.969 (94.762)
Epoch: [4][70/97], lr: 0.01000	Time 0.285 (0.296)	Data 0.000 (0.025)	Loss 4.5952 (4.6927)	Prec@1 67.969 (66.659)	Prec@5 95.312 (94.663)
Epoch: [4][80/97], lr: 0.01000	Time 0.280 (0.295)	Data 0.003 (0.024)	Loss 5.7262 (4.7199)	Prec@1 57.031 (66.310)	Prec@5 91.406 (94.493)
Epoch: [4][90/97], lr: 0.01000	Time 0.281 (0.294)	Data 0.000 (0.023)	Loss 5.1668 (4.7215)	Prec@1 64.844 (66.235)	Prec@5 93.750 (94.488)
Epoch: [4][96/97], lr: 0.01000	Time 0.272 (0.293)	Data 0.000 (0.023)	Loss 3.9178 (4.7134)	Prec@1 66.949 (66.186)	Prec@5 96.610 (94.535)
Epoch: [5][0/97], lr: 0.01000	Time 0.994 (0.994)	Data 0.677 (0.677)	Loss 4.7690 (4.7690)	Prec@1 64.062 (64.062)	Prec@5 95.312 (95.312)
Epoch: [5][10/97], lr: 0.01000	Time 0.278 (0.353)	Data 0.000 (0.072)	Loss 4.8005 (4.6869)	Prec@1 62.500 (65.199)	Prec@5 95.312 (94.318)
Epoch: [5][20/97], lr: 0.01000	Time 0.283 (0.320)	Data 0.000 (0.045)	Loss 4.1579 (4.5565)	Prec@1 68.750 (66.481)	Prec@5 96.094 (94.866)
Epoch: [5][30/97], lr: 0.01000	Time 0.279 (0.310)	Data 0.000 (0.036)	Loss 5.0829 (4.6007)	Prec@1 64.062 (66.709)	Prec@5 95.312 (95.212)
Epoch: [5][40/97], lr: 0.01000	Time 0.269 (0.304)	Data 0.000 (0.031)	Loss 4.2194 (4.5541)	Prec@1 74.219 (67.016)	Prec@5 98.438 (95.408)
Epoch: [5][50/97], lr: 0.01000	Time 0.279 (0.300)	Data 0.000 (0.028)	Loss 5.0065 (4.5289)	Prec@1 64.062 (67.295)	Prec@5 99.219 (95.711)
Epoch: [5][60/97], lr: 0.01000	Time 0.287 (0.298)	Data 0.000 (0.026)	Loss 3.9922 (4.5508)	Prec@1 69.531 (67.277)	Prec@5 94.531 (95.569)
Epoch: [5][70/97], lr: 0.01000	Time 0.278 (0.296)	Data 0.000 (0.024)	Loss 4.3619 (4.5259)	Prec@1 67.188 (67.408)	Prec@5 96.875 (95.610)
Epoch: [5][80/97], lr: 0.01000	Time 0.284 (0.295)	Data 0.003 (0.023)	Loss 4.5635 (4.5044)	Prec@1 70.312 (67.747)	Prec@5 95.312 (95.747)
Epoch: [5][90/97], lr: 0.01000	Time 0.282 (0.294)	Data 0.000 (0.022)	Loss 4.8485 (4.4853)	Prec@1 62.500 (67.874)	Prec@5 92.969 (95.647)
Epoch: [5][96/97], lr: 0.01000	Time 0.280 (0.293)	Data 0.000 (0.023)	Loss 4.4289 (4.4817)	Prec@1 70.339 (67.975)	Prec@5 93.220 (95.663)
Epoch: [6][0/97], lr: 0.01000	Time 0.999 (0.999)	Data 0.687 (0.687)	Loss 3.9232 (3.9232)	Prec@1 69.531 (69.531)	Prec@5 97.656 (97.656)
Epoch: [6][10/97], lr: 0.01000	Time 0.275 (0.356)	Data 0.000 (0.071)	Loss 4.3453 (4.2827)	Prec@1 68.750 (70.810)	Prec@5 95.312 (95.810)
Epoch: [6][20/97], lr: 0.01000	Time 0.295 (0.323)	Data 0.000 (0.045)	Loss 4.7267 (4.3187)	Prec@1 66.406 (70.312)	Prec@5 95.312 (95.833)
Epoch: [6][30/97], lr: 0.01000	Time 0.283 (0.311)	Data 0.000 (0.035)	Loss 4.3668 (4.4140)	Prec@1 71.875 (69.304)	Prec@5 97.656 (95.791)
Epoch: [6][40/97], lr: 0.01000	Time 0.282 (0.305)	Data 0.000 (0.030)	Loss 4.0471 (4.3912)	Prec@1 73.438 (69.379)	Prec@5 96.094 (95.998)
Epoch: [6][50/97], lr: 0.01000	Time 0.278 (0.301)	Data 0.000 (0.028)	Loss 4.3178 (4.4045)	Prec@1 66.406 (69.225)	Prec@5 96.875 (96.017)
Epoch: [6][60/97], lr: 0.01000	Time 0.279 (0.299)	Data 0.000 (0.026)	Loss 4.2678 (4.3504)	Prec@1 70.312 (69.813)	Prec@5 96.875 (96.043)
Epoch: [6][70/97], lr: 0.01000	Time 0.277 (0.297)	Data 0.000 (0.024)	Loss 3.9372 (4.3436)	Prec@1 71.875 (69.784)	Prec@5 96.875 (96.094)
Epoch: [6][80/97], lr: 0.01000	Time 0.267 (0.296)	Data 0.003 (0.023)	Loss 4.5485 (4.3706)	Prec@1 70.312 (69.464)	Prec@5 94.531 (96.065)
Epoch: [6][90/97], lr: 0.01000	Time 0.281 (0.295)	Data 0.000 (0.022)	Loss 3.5838 (4.3277)	Prec@1 75.000 (69.772)	Prec@5 96.094 (96.171)
