Epoch: [0][330/391], lr: 0.00200	Time 0.062 (0.058)	Data 0.000 (0.002)	Loss 4.3040 (4.7551)	Prec@1 7.812 (5.371)	Prec@5 25.391 (16.622)
Epoch: [0][340/391], lr: 0.00200	Time 0.045 (0.058)	Data 0.000 (0.002)	Loss 4.3362 (4.7430)	Prec@1 9.375 (5.497)	Prec@5 21.875 (16.892)
Epoch: [0][350/391], lr: 0.00200	Time 0.045 (0.058)	Data 0.000 (0.002)	Loss 4.2269 (4.7290)	Prec@1 11.328 (5.626)	Prec@5 31.641 (17.226)
Epoch: [0][360/391], lr: 0.00200	Time 0.060 (0.058)	Data 0.001 (0.002)	Loss 4.4016 (4.7164)	Prec@1 10.156 (5.763)	Prec@5 25.781 (17.537)
Epoch: [0][370/391], lr: 0.00200	Time 0.051 (0.057)	Data 0.000 (0.002)	Loss 4.2321 (4.7019)	Prec@1 8.984 (5.905)	Prec@5 29.688 (17.889)
Epoch: [0][380/391], lr: 0.00200	Time 0.059 (0.057)	Data 0.000 (0.002)	Loss 4.3278 (4.6901)	Prec@1 7.812 (6.036)	Prec@5 30.469 (18.178)
Epoch: [0][390/391], lr: 0.00200	Time 0.503 (0.058)	Data 0.000 (0.002)	Loss 4.2987 (4.6789)	Prec@1 6.250 (6.144)	Prec@5 28.125 (18.437)
Epoch: 0, Gated Network Weight Gate = [0]:0.52 [1]:0.48 
val Results: Prec@1 10.300 Prec@5 28.660 Loss 4.24983
Best Prec@1: 10.300

Epoch: [1][0/391], lr: 0.00400	Time 0.584 (0.584)	Data 0.520 (0.520)	Loss 4.1706 (4.1706)	Prec@1 10.156 (10.156)	Prec@5 30.078 (30.078)
Epoch: [1][10/391], lr: 0.00400	Time 0.051 (0.097)	Data 0.000 (0.048)	Loss 4.3753 (4.2687)	Prec@1 11.719 (10.192)	Prec@5 30.078 (27.734)
Epoch: [1][20/391], lr: 0.00400	Time 0.050 (0.075)	Data 0.000 (0.026)	Loss 4.2005 (4.2823)	Prec@1 12.109 (10.231)	Prec@5 29.297 (27.623)
Epoch: [1][30/391], lr: 0.00400	Time 0.050 (0.067)	Data 0.000 (0.018)	Loss 4.2506 (4.2809)	Prec@1 10.547 (10.093)	Prec@5 24.609 (27.722)
Epoch: [1][40/391], lr: 0.00400	Time 0.048 (0.062)	Data 0.000 (0.014)	Loss 4.3131 (4.2817)	Prec@1 10.547 (10.023)	Prec@5 26.172 (27.868)
Epoch: [1][50/391], lr: 0.00400	Time 0.044 (0.059)	Data 0.000 (0.011)	Loss 4.0745 (4.2739)	Prec@1 9.375 (10.064)	Prec@5 31.641 (27.964)
Epoch: [1][60/391], lr: 0.00400	Time 0.046 (0.057)	Data 0.000 (0.009)	Loss 4.1554 (4.2637)	Prec@1 10.547 (10.111)	Prec@5 30.469 (28.311)
Epoch: [1][70/391], lr: 0.00400	Time 0.046 (0.056)	Data 0.000 (0.008)	Loss 4.2662 (4.2605)	Prec@1 10.156 (10.184)	Prec@5 31.250 (28.411)
Epoch: [1][80/391], lr: 0.00400	Time 0.051 (0.055)	Data 0.000 (0.007)	Loss 4.1161 (4.2552)	Prec@1 11.328 (10.214)	Prec@5 33.594 (28.602)
Epoch: [1][90/391], lr: 0.00400	Time 0.048 (0.054)	Data 0.000 (0.007)	Loss 4.1356 (4.2513)	Prec@1 8.984 (10.234)	Prec@5 32.422 (28.589)
Epoch: [1][100/391], lr: 0.00400	Time 0.046 (0.053)	Data 0.000 (0.006)	Loss 4.1187 (4.2446)	Prec@1 11.719 (10.350)	Prec@5 35.547 (28.682)
Epoch: [1][110/391], lr: 0.00400	Time 0.046 (0.052)	Data 0.000 (0.006)	Loss 4.2131 (4.2377)	Prec@1 11.328 (10.381)	Prec@5 30.078 (28.741)
Epoch: [1][120/391], lr: 0.00400	Time 0.046 (0.052)	Data 0.000 (0.005)	Loss 4.1418 (4.2284)	Prec@1 12.891 (10.550)	Prec@5 32.031 (29.058)
Epoch: [1][130/391], lr: 0.00400	Time 0.046 (0.052)	Data 0.000 (0.005)	Loss 4.1430 (4.2160)	Prec@1 11.328 (10.699)	Prec@5 33.203 (29.467)
Epoch: [1][140/391], lr: 0.00400	Time 0.046 (0.051)	Data 0.000 (0.005)	Loss 4.0575 (4.2076)	Prec@1 12.500 (10.841)	Prec@5 30.859 (29.657)
Epoch: [1][150/391], lr: 0.00400	Time 0.051 (0.051)	Data 0.000 (0.004)	Loss 4.0565 (4.1951)	Prec@1 12.500 (10.940)	Prec@5 33.203 (29.957)
Epoch: [1][160/391], lr: 0.00400	Time 0.043 (0.051)	Data 0.000 (0.004)	Loss 4.0449 (4.1883)	Prec@1 13.281 (11.100)	Prec@5 34.766 (30.192)
Epoch: [1][170/391], lr: 0.00400	Time 0.045 (0.051)	Data 0.000 (0.004)	Loss 4.0250 (4.1787)	Prec@1 14.062 (11.248)	Prec@5 32.812 (30.432)
Epoch: [1][180/391], lr: 0.00400	Time 0.048 (0.050)	Data 0.000 (0.004)	Loss 4.0642 (4.1698)	Prec@1 12.500 (11.343)	Prec@5 33.203 (30.622)
Epoch: [1][190/391], lr: 0.00400	Time 0.045 (0.050)	Data 0.000 (0.004)	Loss 4.0621 (4.1614)	Prec@1 13.672 (11.443)	Prec@5 35.547 (30.833)
Epoch: [1][200/391], lr: 0.00400	Time 0.045 (0.050)	Data 0.000 (0.003)	Loss 4.0965 (4.1547)	Prec@1 12.500 (11.544)	Prec@5 31.250 (31.009)
Epoch: [1][210/391], lr: 0.00400	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 4.1349 (4.1479)	Prec@1 14.844 (11.635)	Prec@5 31.641 (31.193)
Epoch: [1][220/391], lr: 0.00400	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 3.9063 (4.1394)	Prec@1 20.312 (11.802)	Prec@5 39.453 (31.469)
Epoch: [1][230/391], lr: 0.00400	Time 0.045 (0.050)	Data 0.000 (0.003)	Loss 3.8970 (4.1307)	Prec@1 16.016 (11.928)	Prec@5 40.234 (31.676)
Epoch: [1][240/391], lr: 0.00400	Time 0.044 (0.050)	Data 0.000 (0.003)	Loss 4.0362 (4.1248)	Prec@1 16.797 (12.014)	Prec@5 35.156 (31.825)
Epoch: [1][250/391], lr: 0.00400	Time 0.049 (0.050)	Data 0.000 (0.003)	Loss 3.7779 (4.1190)	Prec@1 16.406 (12.094)	Prec@5 42.188 (31.950)
Epoch: [1][260/391], lr: 0.00400	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 4.0581 (4.1146)	Prec@1 9.375 (12.105)	Prec@5 29.688 (32.079)
Epoch: [1][270/391], lr: 0.00400	Time 0.045 (0.050)	Data 0.000 (0.003)	Loss 4.0261 (4.1097)	Prec@1 13.672 (12.168)	Prec@5 36.328 (32.183)
Epoch: [1][280/391], lr: 0.00400	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 4.0184 (4.1031)	Prec@1 15.625 (12.305)	Prec@5 31.641 (32.333)
Epoch: [1][290/391], lr: 0.00400	Time 0.049 (0.049)	Data 0.000 (0.003)	Loss 4.1060 (4.0967)	Prec@1 12.109 (12.402)	Prec@5 32.812 (32.501)
Epoch: [1][300/391], lr: 0.00400	Time 0.044 (0.049)	Data 0.000 (0.003)	Loss 3.9122 (4.0900)	Prec@1 16.406 (12.535)	Prec@5 35.938 (32.666)
Epoch: [1][310/391], lr: 0.00400	Time 0.048 (0.049)	Data 0.000 (0.003)	Loss 3.8401 (4.0833)	Prec@1 13.281 (12.603)	Prec@5 38.672 (32.799)
Epoch: [1][320/391], lr: 0.00400	Time 0.049 (0.049)	Data 0.000 (0.002)	Loss 3.6460 (4.0756)	Prec@1 16.406 (12.718)	Prec@5 41.797 (32.983)
Epoch: [1][330/391], lr: 0.00400	Time 0.046 (0.049)	Data 0.000 (0.002)	Loss 3.8336 (4.0704)	Prec@1 15.625 (12.784)	Prec@5 39.453 (33.104)
Epoch: [1][340/391], lr: 0.00400	Time 0.048 (0.049)	Data 0.000 (0.002)	Loss 3.6328 (4.0630)	Prec@1 18.359 (12.895)	Prec@5 46.094 (33.299)
Epoch: [1][350/391], lr: 0.00400	Time 0.047 (0.049)	Data 0.000 (0.002)	Loss 3.6439 (4.0552)	Prec@1 20.312 (13.006)	Prec@5 44.141 (33.485)
Epoch: [1][360/391], lr: 0.00400	Time 0.047 (0.049)	Data 0.000 (0.002)	Loss 3.9215 (4.0508)	Prec@1 14.453 (13.059)	Prec@5 35.938 (33.584)
Epoch: [1][370/391], lr: 0.00400	Time 0.050 (0.049)	Data 0.000 (0.002)	Loss 4.0566 (4.0446)	Prec@1 12.891 (13.135)	Prec@5 34.766 (33.709)
Epoch: [1][380/391], lr: 0.00400	Time 0.051 (0.049)	Data 0.000 (0.002)	Loss 3.9849 (4.0380)	Prec@1 15.234 (13.241)	Prec@5 36.719 (33.874)
Epoch: [1][390/391], lr: 0.00400	Time 0.037 (0.049)	Data 0.000 (0.002)	Loss 3.8050 (4.0322)	Prec@1 13.125 (13.329)	Prec@5 42.500 (34.037)
Epoch: 1, Gated Network Weight Gate = [0]:0.51 [1]:0.49 
val Results: Prec@1 17.150 Prec@5 40.680 Loss 3.76027
Best Prec@1: 17.150

Epoch: [2][0/391], lr: 0.00600	Time 0.489 (0.489)	Data 0.424 (0.424)	Loss 3.8129 (3.8129)	Prec@1 18.750 (18.750)	Prec@5 37.500 (37.500)
Epoch: [2][10/391], lr: 0.00600	Time 0.048 (0.087)	Data 0.000 (0.039)	Loss 3.7647 (3.7918)	Prec@1 17.578 (16.087)	Prec@5 41.406 (39.915)
Epoch: [2][20/391], lr: 0.00600	Time 0.044 (0.068)	Data 0.000 (0.021)	Loss 3.9460 (3.7968)	Prec@1 15.234 (16.109)	Prec@5 39.453 (39.807)
Epoch: [2][30/391], lr: 0.00600	Time 0.051 (0.061)	Data 0.000 (0.015)	Loss 3.7646 (3.8083)	Prec@1 17.578 (16.142)	Prec@5 37.891 (39.441)
Epoch: [2][40/391], lr: 0.00600	Time 0.048 (0.058)	Data 0.000 (0.011)	Loss 3.7954 (3.8125)	Prec@1 19.531 (16.120)	Prec@5 40.234 (39.291)
Epoch: [2][50/391], lr: 0.00600	Time 0.046 (0.056)	Data 0.000 (0.009)	Loss 3.4407 (3.8078)	Prec@1 18.359 (16.222)	Prec@5 48.828 (39.285)
Epoch: [2][60/391], lr: 0.00600	Time 0.048 (0.054)	Data 0.000 (0.008)	Loss 3.9691 (3.8155)	Prec@1 15.625 (16.067)	Prec@5 37.109 (38.896)
Epoch: [2][70/391], lr: 0.00600	Time 0.048 (0.054)	Data 0.000 (0.007)	Loss 3.7332 (3.8179)	Prec@1 19.922 (16.005)	Prec@5 40.625 (38.903)
Epoch: [2][80/391], lr: 0.00600	Time 0.046 (0.053)	Data 0.000 (0.006)	Loss 3.6400 (3.8119)	Prec@1 17.578 (16.093)	Prec@5 44.141 (39.077)
Epoch: [2][90/391], lr: 0.00600	Time 0.045 (0.052)	Data 0.000 (0.005)	Loss 3.8537 (3.8077)	Prec@1 16.797 (16.239)	Prec@5 35.938 (39.093)
Epoch: [2][100/391], lr: 0.00600	Time 0.046 (0.052)	Data 0.000 (0.005)	Loss 3.8387 (3.8103)	Prec@1 14.453 (16.228)	Prec@5 35.938 (39.074)
Epoch: [2][110/391], lr: 0.00600	Time 0.060 (0.052)	Data 0.001 (0.005)	Loss 3.6030 (3.8081)	Prec@1 18.359 (16.244)	Prec@5 41.406 (39.034)
Epoch: [2][120/391], lr: 0.00600	Time 0.048 (0.051)	Data 0.000 (0.004)	Loss 3.7284 (3.8060)	Prec@1 15.625 (16.219)	Prec@5 39.844 (39.124)
Epoch: [2][130/391], lr: 0.00600	Time 0.046 (0.051)	Data 0.000 (0.004)	Loss 3.5774 (3.7988)	Prec@1 24.609 (16.388)	Prec@5 46.094 (39.292)
Epoch: [2][140/391], lr: 0.00600	Time 0.047 (0.051)	Data 0.000 (0.004)	Loss 3.8600 (3.7887)	Prec@1 14.844 (16.470)	Prec@5 37.500 (39.473)
Epoch: [2][150/391], lr: 0.00600	Time 0.047 (0.051)	Data 0.000 (0.004)	Loss 3.6489 (3.7826)	Prec@1 17.578 (16.572)	Prec@5 41.016 (39.645)
Epoch: [2][160/391], lr: 0.00600	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 3.5925 (3.7760)	Prec@1 18.359 (16.688)	Prec@5 44.922 (39.783)
Epoch: [2][170/391], lr: 0.00600	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 3.8137 (3.7722)	Prec@1 16.016 (16.811)	Prec@5 35.156 (39.876)
Epoch: [2][180/391], lr: 0.00600	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 3.6405 (3.7662)	Prec@1 19.141 (16.883)	Prec@5 44.531 (39.986)
Epoch: [2][190/391], lr: 0.00600	Time 0.047 (0.050)	Data 0.000 (0.003)	Loss 3.4506 (3.7605)	Prec@1 21.094 (16.942)	Prec@5 48.438 (40.099)
Epoch: [2][200/391], lr: 0.00600	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 3.6357 (3.7564)	Prec@1 17.969 (17.024)	Prec@5 44.141 (40.236)
Epoch: [2][210/391], lr: 0.00600	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 3.6470 (3.7508)	Prec@1 18.750 (17.152)	Prec@5 43.359 (40.358)
Epoch: [2][220/391], lr: 0.00600	Time 0.053 (0.050)	Data 0.000 (0.003)	Loss 3.5828 (3.7497)	Prec@1 21.484 (17.191)	Prec@5 42.188 (40.408)
Epoch: [2][230/391], lr: 0.00600	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 3.8319 (3.7480)	Prec@1 18.359 (17.230)	Prec@5 38.672 (40.481)
Epoch: [2][240/391], lr: 0.00600	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 3.6864 (3.7432)	Prec@1 15.234 (17.320)	Prec@5 42.188 (40.565)
Epoch: [2][250/391], lr: 0.00600	Time 0.048 (0.049)	Data 0.000 (0.003)	Loss 3.7123 (3.7404)	Prec@1 16.797 (17.396)	Prec@5 42.969 (40.636)
Epoch: [2][260/391], lr: 0.00600	Time 0.046 (0.049)	Data 0.000 (0.002)	Loss 3.7009 (3.7371)	Prec@1 14.844 (17.431)	Prec@5 42.578 (40.733)
Epoch: [2][270/391], lr: 0.00600	Time 0.047 (0.049)	Data 0.000 (0.002)	Loss 3.7043 (3.7344)	Prec@1 15.234 (17.441)	Prec@5 40.234 (40.838)
Epoch: [2][280/391], lr: 0.00600	Time 0.045 (0.049)	Data 0.000 (0.002)	Loss 3.5798 (3.7282)	Prec@1 20.703 (17.561)	Prec@5 44.531 (41.003)
Epoch: [2][290/391], lr: 0.00600	Time 0.046 (0.049)	Data 0.000 (0.002)	Loss 3.6817 (3.7251)	Prec@1 17.578 (17.629)	Prec@5 41.016 (41.079)
Epoch: [2][300/391], lr: 0.00600	Time 0.048 (0.049)	Data 0.000 (0.002)	Loss 3.6545 (3.7194)	Prec@1 20.703 (17.717)	Prec@5 44.141 (41.187)
Epoch: [2][310/391], lr: 0.00600	Time 0.046 (0.049)	Data 0.000 (0.002)	Loss 3.7502 (3.7153)	Prec@1 16.797 (17.780)	Prec@5 40.234 (41.282)
Epoch: [2][320/391], lr: 0.00600	Time 0.047 (0.049)	Data 0.000 (0.002)	Loss 3.5894 (3.7119)	Prec@1 21.094 (17.835)	Prec@5 41.797 (41.388)
Epoch: [2][330/391], lr: 0.00600	Time 0.045 (0.049)	Data 0.000 (0.002)	Loss 3.5158 (3.7077)	Prec@1 22.266 (17.887)	Prec@5 45.312 (41.465)
Epoch: [2][340/391], lr: 0.00600	Time 0.044 (0.049)	Data 0.000 (0.002)	Loss 3.4933 (3.7032)	Prec@1 23.047 (17.963)	Prec@5 47.266 (41.571)
Epoch: [2][350/391], lr: 0.00600	Time 0.045 (0.049)	Data 0.000 (0.002)	Loss 3.7368 (3.7017)	Prec@1 19.141 (17.982)	Prec@5 38.281 (41.598)
Epoch: [2][360/391], lr: 0.00600	Time 0.048 (0.049)	Data 0.000 (0.002)	Loss 3.4495 (3.6977)	Prec@1 24.219 (18.062)	Prec@5 48.828 (41.718)
Epoch: [2][370/391], lr: 0.00600	Time 0.045 (0.049)	Data 0.000 (0.002)	Loss 3.6898 (3.6937)	Prec@1 19.922 (18.135)	Prec@5 41.016 (41.834)
Epoch: [2][380/391], lr: 0.00600	Time 0.044 (0.049)	Data 0.000 (0.002)	Loss 3.4302 (3.6912)	Prec@1 23.828 (18.215)	Prec@5 46.875 (41.904)
Epoch: [2][390/391], lr: 0.00600	Time 0.036 (0.049)	Data 0.000 (0.002)	Loss 3.4443 (3.6882)	Prec@1 21.875 (18.285)	Prec@5 47.500 (41.999)
Epoch: 2, Gated Network Weight Gate = [0]:0.50 [1]:0.50 
val Results: Prec@1 19.020 Prec@5 43.910 Loss 3.64904
Best Prec@1: 19.020

Epoch: [3][0/391], lr: 0.00800	Time 0.480 (0.480)	Data 0.411 (0.411)	Loss 3.5502 (3.5502)	Prec@1 21.875 (21.875)	Prec@5 46.875 (46.875)
Epoch: [3][10/391], lr: 0.00800	Time 0.047 (0.088)	Data 0.000 (0.038)	Loss 3.4637 (3.5038)	Prec@1 23.828 (21.662)	Prec@5 50.781 (46.271)
Epoch: [3][20/391], lr: 0.00800	Time 0.048 (0.069)	Data 0.000 (0.020)	Loss 3.4674 (3.4955)	Prec@1 19.922 (21.261)	Prec@5 46.484 (46.447)
Epoch: [3][30/391], lr: 0.00800	Time 0.048 (0.062)	Data 0.000 (0.014)	Loss 3.4328 (3.4982)	Prec@1 23.828 (21.673)	Prec@5 48.047 (46.434)
Epoch: [3][40/391], lr: 0.00800	Time 0.047 (0.058)	Data 0.000 (0.011)	Loss 3.7024 (3.5244)	Prec@1 18.750 (21.160)	Prec@5 39.062 (45.598)
Epoch: [3][50/391], lr: 0.00800	Time 0.046 (0.056)	Data 0.000 (0.009)	Loss 3.1970 (3.5141)	Prec@1 25.391 (21.270)	Prec@5 54.297 (45.810)
Epoch: [3][60/391], lr: 0.00800	Time 0.045 (0.055)	Data 0.000 (0.008)	Loss 3.6748 (3.5239)	Prec@1 19.141 (21.055)	Prec@5 45.312 (45.716)
Epoch: [3][70/391], lr: 0.00800	Time 0.045 (0.054)	Data 0.000 (0.007)	Loss 3.7289 (3.5284)	Prec@1 14.453 (20.824)	Prec@5 39.453 (45.621)
Epoch: [3][80/391], lr: 0.00800	Time 0.051 (0.053)	Data 0.000 (0.006)	Loss 3.5588 (3.5301)	Prec@1 20.312 (20.713)	Prec@5 42.969 (45.587)
Epoch: [3][90/391], lr: 0.00800	Time 0.048 (0.052)	Data 0.000 (0.005)	Loss 3.8166 (3.5337)	Prec@1 18.359 (20.810)	Prec@5 37.891 (45.544)
Epoch: [3][100/391], lr: 0.00800	Time 0.043 (0.052)	Data 0.000 (0.005)	Loss 3.5294 (3.5313)	Prec@1 19.141 (20.792)	Prec@5 44.922 (45.606)
Epoch: [3][110/391], lr: 0.00800	Time 0.045 (0.051)	Data 0.000 (0.005)	Loss 3.4633 (3.5334)	Prec@1 21.484 (20.781)	Prec@5 44.922 (45.594)
Epoch: [3][120/391], lr: 0.00800	Time 0.046 (0.051)	Data 0.000 (0.004)	Loss 3.3962 (3.5325)	Prec@1 21.875 (20.771)	Prec@5 45.312 (45.606)
Epoch: [3][130/391], lr: 0.00800	Time 0.046 (0.051)	Data 0.000 (0.004)	Loss 3.5433 (3.5288)	Prec@1 21.484 (20.775)	Prec@5 45.703 (45.724)
Epoch: [3][140/391], lr: 0.00800	Time 0.046 (0.050)	Data 0.000 (0.004)	Loss 3.5938 (3.5284)	Prec@1 19.531 (20.839)	Prec@5 45.312 (45.811)
Epoch: [3][150/391], lr: 0.00800	Time 0.049 (0.050)	Data 0.000 (0.004)	Loss 3.4035 (3.5252)	Prec@1 24.609 (20.892)	Prec@5 47.266 (45.876)
Epoch: [3][160/391], lr: 0.00800	Time 0.045 (0.050)	Data 0.000 (0.003)	Loss 3.6616 (3.5239)	Prec@1 19.531 (20.902)	Prec@5 43.359 (45.871)
Epoch: [3][170/391], lr: 0.00800	Time 0.046 (0.050)	Data 0.000 (0.003)	Loss 3.5163 (3.5191)	Prec@1 18.359 (20.948)	Prec@5 48.047 (45.964)
Epoch: [3][180/391], lr: 0.00800	Time 0.049 (0.050)	Data 0.000 (0.003)	Loss 3.5140 (3.5188)	Prec@1 22.266 (20.982)	Prec@5 44.141 (45.966)
Epoch: [3][190/391], lr: 0.00800	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 3.6211 (3.5164)	Prec@1 20.312 (21.010)	Prec@5 42.578 (46.004)
Epoch: [3][200/391], lr: 0.00800	Time 0.048 (0.050)	Data 0.000 (0.003)	Loss 3.4662 (3.5159)	Prec@1 19.141 (21.041)	Prec@5 45.703 (46.053)
