Epoch: [0][330/391], lr: 0.00200	Time 0.457 (0.471)	Data 0.000 (0.005)	Loss 4.4243 (4.8323)	Prec@1 10.547 (4.564)	Prec@5 23.047 (14.638)
Epoch: [0][340/391], lr: 0.00200	Time 0.452 (0.470)	Data 0.000 (0.005)	Loss 4.3518 (4.8199)	Prec@1 11.719 (4.688)	Prec@5 23.047 (14.923)
Epoch: [0][350/391], lr: 0.00200	Time 0.476 (0.470)	Data 0.000 (0.005)	Loss 4.4925 (4.8089)	Prec@1 6.250 (4.772)	Prec@5 21.094 (15.170)
Epoch: [0][360/391], lr: 0.00200	Time 0.451 (0.470)	Data 0.000 (0.005)	Loss 4.4239 (4.7976)	Prec@1 8.203 (4.870)	Prec@5 25.391 (15.412)
Epoch: [0][370/391], lr: 0.00200	Time 0.460 (0.469)	Data 0.000 (0.005)	Loss 4.3677 (4.7852)	Prec@1 6.641 (4.996)	Prec@5 23.047 (15.712)
Epoch: [0][380/391], lr: 0.00200	Time 0.461 (0.469)	Data 0.000 (0.005)	Loss 4.3989 (4.7738)	Prec@1 7.422 (5.124)	Prec@5 23.438 (15.981)
Epoch: [0][390/391], lr: 0.00200	Time 1.339 (0.471)	Data 0.000 (0.004)	Loss 4.3566 (4.7630)	Prec@1 11.250 (5.230)	Prec@5 23.125 (16.258)
Epoch: 0, Gated Network Weight Gate = [0]:0.29 [1]:0.23 [2]:0.48 
val Results: Prec@1 7.830 Prec@5 22.490 Loss 4.56046
Best Prec@1: 7.830

Epoch: [1][0/391], lr: 0.00400	Time 0.713 (0.713)	Data 0.306 (0.306)	Loss 4.1981 (4.1981)	Prec@1 10.156 (10.156)	Prec@5 28.516 (28.516)
Epoch: [1][10/391], lr: 0.00400	Time 0.458 (0.476)	Data 0.000 (0.031)	Loss 4.4304 (4.3012)	Prec@1 6.641 (9.908)	Prec@5 25.000 (26.776)
Epoch: [1][20/391], lr: 0.00400	Time 0.458 (0.466)	Data 0.000 (0.018)	Loss 4.3465 (4.3400)	Prec@1 9.375 (9.487)	Prec@5 23.828 (25.502)
Epoch: [1][30/391], lr: 0.00400	Time 0.456 (0.465)	Data 0.000 (0.014)	Loss 4.3843 (4.3629)	Prec@1 6.250 (9.047)	Prec@5 24.609 (25.176)
Epoch: [1][40/391], lr: 0.00400	Time 0.455 (0.463)	Data 0.000 (0.012)	Loss 4.3407 (4.3753)	Prec@1 8.594 (8.822)	Prec@5 28.125 (24.962)
Epoch: [1][50/391], lr: 0.00400	Time 0.456 (0.461)	Data 0.000 (0.010)	Loss 4.1125 (4.3658)	Prec@1 10.547 (8.847)	Prec@5 27.734 (25.169)
Epoch: [1][60/391], lr: 0.00400	Time 0.451 (0.459)	Data 0.000 (0.009)	Loss 4.3444 (4.3451)	Prec@1 8.203 (9.138)	Prec@5 28.516 (25.826)
Epoch: [1][70/391], lr: 0.00400	Time 0.446 (0.457)	Data 0.000 (0.008)	Loss 4.3709 (4.3393)	Prec@1 9.766 (9.188)	Prec@5 26.562 (26.023)
Epoch: [1][80/391], lr: 0.00400	Time 0.442 (0.456)	Data 0.000 (0.008)	Loss 4.2302 (4.3332)	Prec@1 8.594 (9.168)	Prec@5 29.688 (26.254)
Epoch: [1][90/391], lr: 0.00400	Time 0.468 (0.456)	Data 0.000 (0.007)	Loss 4.0905 (4.3284)	Prec@1 9.766 (9.199)	Prec@5 33.594 (26.335)
Epoch: [1][100/391], lr: 0.00400	Time 0.454 (0.456)	Data 0.000 (0.007)	Loss 4.4352 (4.3240)	Prec@1 5.469 (9.166)	Prec@5 22.266 (26.365)
Epoch: [1][110/391], lr: 0.00400	Time 0.458 (0.455)	Data 0.000 (0.007)	Loss 4.3829 (4.3171)	Prec@1 8.203 (9.262)	Prec@5 23.438 (26.517)
Epoch: [1][120/391], lr: 0.00400	Time 0.455 (0.454)	Data 0.000 (0.006)	Loss 4.1642 (4.3088)	Prec@1 10.938 (9.317)	Prec@5 30.078 (26.747)
Epoch: [1][130/391], lr: 0.00400	Time 0.456 (0.454)	Data 0.000 (0.006)	Loss 4.1031 (4.3031)	Prec@1 14.453 (9.464)	Prec@5 32.422 (26.941)
Epoch: [1][140/391], lr: 0.00400	Time 0.459 (0.454)	Data 0.000 (0.006)	Loss 4.1019 (4.2955)	Prec@1 12.500 (9.516)	Prec@5 30.469 (27.194)
Epoch: [1][150/391], lr: 0.00400	Time 0.416 (0.453)	Data 0.000 (0.006)	Loss 4.0593 (4.2859)	Prec@1 12.109 (9.667)	Prec@5 32.422 (27.403)
Epoch: [1][160/391], lr: 0.00400	Time 0.465 (0.453)	Data 0.000 (0.006)	Loss 4.0723 (4.2777)	Prec@1 12.109 (9.766)	Prec@5 28.906 (27.557)
Epoch: [1][170/391], lr: 0.00400	Time 0.457 (0.454)	Data 0.000 (0.006)	Loss 4.2696 (4.2679)	Prec@1 9.766 (9.905)	Prec@5 30.469 (27.830)
Epoch: [1][180/391], lr: 0.00400	Time 0.454 (0.454)	Data 0.000 (0.006)	Loss 4.1674 (4.2599)	Prec@1 7.812 (9.992)	Prec@5 30.469 (28.032)
