Epoch: [2][70/97], lr: 0.00600	Time 0.325 (0.400)	Data 0.000 (0.019)	Loss 4.8108 (5.0837)	Prec@1 64.062 (62.555)	Prec@5 93.750 (94.014)
Epoch: [2][80/97], lr: 0.00600	Time 0.338 (0.391)	Data 0.000 (0.018)	Loss 5.6837 (5.0866)	Prec@1 59.375 (62.616)	Prec@5 91.406 (93.914)
Epoch: [2][90/97], lr: 0.00600	Time 0.338 (0.385)	Data 0.000 (0.018)	Loss 5.1906 (5.0960)	Prec@1 58.594 (62.629)	Prec@5 90.625 (93.656)
Epoch: [2][96/97], lr: 0.00600	Time 0.359 (0.387)	Data 0.000 (0.019)	Loss 4.6656 (5.0897)	Prec@1 67.797 (62.671)	Prec@5 94.915 (93.632)
Epoch: [3][0/97], lr: 0.00800	Time 0.771 (0.771)	Data 0.482 (0.482)	Loss 4.5040 (4.5040)	Prec@1 64.844 (64.844)	Prec@5 95.312 (95.312)
Epoch: [3][10/97], lr: 0.00800	Time 0.329 (0.380)	Data 0.000 (0.058)	Loss 5.3928 (4.7833)	Prec@1 58.594 (64.631)	Prec@5 90.625 (94.034)
Epoch: [3][20/97], lr: 0.00800	Time 0.340 (0.357)	Data 0.000 (0.039)	Loss 5.3840 (4.9022)	Prec@1 61.719 (64.546)	Prec@5 89.062 (93.787)
Epoch: [3][30/97], lr: 0.00800	Time 0.340 (0.354)	Data 0.000 (0.032)	Loss 4.8990 (4.9162)	Prec@1 63.281 (64.491)	Prec@5 98.438 (94.103)
Epoch: [3][40/97], lr: 0.00800	Time 0.325 (0.350)	Data 0.000 (0.028)	Loss 4.6470 (4.8711)	Prec@1 64.844 (65.168)	Prec@5 96.094 (94.093)
Epoch: [3][50/97], lr: 0.00800	Time 0.341 (0.346)	Data 0.000 (0.026)	Loss 5.1581 (4.8716)	Prec@1 62.500 (64.874)	Prec@5 91.406 (93.919)
Epoch: [3][60/97], lr: 0.00800	Time 0.325 (0.344)	Data 0.000 (0.024)	Loss 4.2336 (4.8862)	Prec@1 71.875 (64.703)	Prec@5 93.750 (93.904)
