Epoch: [0][330/391], lr: 0.00200	Time 0.061 (0.070)	Data 0.000 (0.002)	Loss 4.3705 (4.8588)	Prec@1 6.641 (4.323)	Prec@5 21.484 (14.235)
Epoch: [0][340/391], lr: 0.00200	Time 0.061 (0.069)	Data 0.000 (0.002)	Loss 4.3814 (4.8458)	Prec@1 8.984 (4.445)	Prec@5 26.953 (14.571)
Epoch: [0][350/391], lr: 0.00200	Time 0.061 (0.069)	Data 0.000 (0.002)	Loss 4.4006 (4.8345)	Prec@1 8.203 (4.523)	Prec@5 24.609 (14.826)
Epoch: [0][360/391], lr: 0.00200	Time 0.061 (0.069)	Data 0.000 (0.002)	Loss 4.3600 (4.8225)	Prec@1 7.812 (4.658)	Prec@5 25.000 (15.120)
Epoch: [0][370/391], lr: 0.00200	Time 0.065 (0.069)	Data 0.000 (0.002)	Loss 4.3808 (4.8110)	Prec@1 8.984 (4.757)	Prec@5 25.391 (15.392)
Epoch: [0][380/391], lr: 0.00200	Time 0.060 (0.069)	Data 0.000 (0.002)	Loss 4.3578 (4.8007)	Prec@1 9.375 (4.843)	Prec@5 27.344 (15.603)
Epoch: [0][390/391], lr: 0.00200	Time 0.504 (0.069)	Data 0.000 (0.002)	Loss 4.3892 (4.7894)	Prec@1 10.000 (4.954)	Prec@5 25.625 (15.865)
Epoch: 0, Gated Network Weight Gate = [0]:0.47 [1]:0.53 
val Results: Prec@1 9.200 Prec@5 26.440 Loss 4.37624
Best Prec@1: 9.200

Epoch: [1][0/391], lr: 0.00400	Time 0.504 (0.504)	Data 0.413 (0.413)	Loss 4.4997 (4.4997)	Prec@1 4.688 (4.688)	Prec@5 21.094 (21.094)
Epoch: [1][10/391], lr: 0.00400	Time 0.061 (0.105)	Data 0.000 (0.038)	Loss 4.3851 (4.3804)	Prec@1 8.984 (8.239)	Prec@5 24.219 (25.107)
Epoch: [1][20/391], lr: 0.00400	Time 0.061 (0.085)	Data 0.000 (0.020)	Loss 4.3789 (4.3905)	Prec@1 10.156 (8.371)	Prec@5 24.219 (25.000)
Epoch: [1][30/391], lr: 0.00400	Time 0.064 (0.077)	Data 0.000 (0.014)	Loss 4.6286 (4.3999)	Prec@1 5.078 (8.632)	Prec@5 19.141 (24.937)
Epoch: [1][40/391], lr: 0.00400	Time 0.061 (0.073)	Data 0.000 (0.011)	Loss 4.5312 (4.4069)	Prec@1 7.422 (8.441)	Prec@5 21.094 (24.752)
Epoch: [1][50/391], lr: 0.00400	Time 0.061 (0.071)	Data 0.000 (0.009)	Loss 4.3283 (4.3993)	Prec@1 8.594 (8.555)	Prec@5 26.953 (24.916)
Epoch: [1][60/391], lr: 0.00400	Time 0.062 (0.069)	Data 0.000 (0.008)	Loss 4.4212 (4.3921)	Prec@1 7.031 (8.645)	Prec@5 25.781 (25.115)
Epoch: [1][70/391], lr: 0.00400	Time 0.060 (0.068)	Data 0.000 (0.007)	Loss 4.2119 (4.3803)	Prec@1 11.719 (8.825)	Prec@5 30.078 (25.446)
Epoch: [1][80/391], lr: 0.00400	Time 0.061 (0.068)	Data 0.000 (0.006)	Loss 4.3725 (4.3807)	Prec@1 11.719 (8.960)	Prec@5 28.906 (25.564)
Epoch: [1][90/391], lr: 0.00400	Time 0.061 (0.067)	Data 0.000 (0.005)	Loss 4.2568 (4.3750)	Prec@1 9.375 (9.010)	Prec@5 27.344 (25.683)
Epoch: [1][100/391], lr: 0.00400	Time 0.061 (0.067)	Data 0.000 (0.005)	Loss 4.2083 (4.3689)	Prec@1 8.594 (8.992)	Prec@5 30.078 (25.855)
Epoch: [1][110/391], lr: 0.00400	Time 0.076 (0.066)	Data 0.000 (0.005)	Loss 4.3692 (4.3634)	Prec@1 8.594 (8.949)	Prec@5 23.828 (25.968)
Epoch: [1][120/391], lr: 0.00400	Time 0.061 (0.066)	Data 0.000 (0.004)	Loss 4.2747 (4.3524)	Prec@1 10.156 (9.107)	Prec@5 30.078 (26.194)
Epoch: [1][130/391], lr: 0.00400	Time 0.059 (0.065)	Data 0.000 (0.004)	Loss 4.2302 (4.3411)	Prec@1 8.594 (9.211)	Prec@5 27.344 (26.384)
