Epoch: [0][0/391], lr: 0.00200	Time 2.527 (2.527)	Data 0.497 (0.497)	Loss 5.4192 (5.4192)	Prec@1 0.000 (0.000)	Prec@5 1.172 (1.172)
Epoch: [0][10/391], lr: 0.00200	Time 0.078 (0.293)	Data 0.000 (0.045)	Loss 5.3163 (5.3790)	Prec@1 0.000 (0.213)	Prec@5 3.906 (2.699)
Epoch: [0][20/391], lr: 0.00200	Time 0.071 (0.186)	Data 0.000 (0.024)	Loss 5.3855 (5.3693)	Prec@1 0.000 (0.335)	Prec@5 1.172 (2.865)
Epoch: [0][30/391], lr: 0.00200	Time 0.074 (0.149)	Data 0.001 (0.017)	Loss 5.2693 (5.3512)	Prec@1 1.172 (0.542)	Prec@5 5.469 (3.289)
Epoch: [0][40/391], lr: 0.00200	Time 0.067 (0.131)	Data 0.000 (0.013)	Loss 5.2040 (5.3304)	Prec@1 0.391 (0.667)	Prec@5 5.078 (3.811)
Epoch: [0][50/391], lr: 0.00200	Time 0.067 (0.119)	Data 0.000 (0.010)	Loss 5.2028 (5.3045)	Prec@1 1.562 (0.904)	Prec@5 7.812 (4.381)
Epoch: [0][60/391], lr: 0.00200	Time 0.067 (0.111)	Data 0.000 (0.009)	Loss 5.1176 (5.2782)	Prec@1 3.125 (1.121)	Prec@5 8.594 (4.867)
Epoch: [0][70/391], lr: 0.00200	Time 0.064 (0.105)	Data 0.000 (0.008)	Loss 5.1539 (5.2557)	Prec@1 2.734 (1.249)	Prec@5 6.250 (5.276)
Epoch: [0][80/391], lr: 0.00200	Time 0.066 (0.100)	Data 0.000 (0.007)	Loss 5.0959 (5.2338)	Prec@1 3.125 (1.413)	Prec@5 9.375 (5.782)
Epoch: [0][90/391], lr: 0.00200	Time 0.069 (0.097)	Data 0.000 (0.006)	Loss 4.9348 (5.2039)	Prec@1 3.516 (1.588)	Prec@5 12.891 (6.396)
Epoch: [0][100/391], lr: 0.00200	Time 0.065 (0.094)	Data 0.000 (0.006)	Loss 4.9491 (5.1818)	Prec@1 3.906 (1.744)	Prec@5 14.844 (6.896)
Epoch: [0][110/391], lr: 0.00200	Time 0.068 (0.091)	Data 0.000 (0.005)	Loss 4.9404 (5.1638)	Prec@1 1.953 (1.798)	Prec@5 10.156 (7.221)
Epoch: [0][120/391], lr: 0.00200	Time 0.066 (0.090)	Data 0.000 (0.005)	Loss 4.9901 (5.1467)	Prec@1 1.562 (1.921)	Prec@5 8.984 (7.587)
Epoch: [0][130/391], lr: 0.00200	Time 0.068 (0.088)	Data 0.000 (0.005)	Loss 4.8536 (5.1274)	Prec@1 3.516 (2.052)	Prec@5 13.672 (7.994)
Epoch: [0][140/391], lr: 0.00200	Time 0.068 (0.086)	Data 0.000 (0.004)	Loss 4.7716 (5.1063)	Prec@1 2.734 (2.186)	Prec@5 13.672 (8.444)
Epoch: [0][150/391], lr: 0.00200	Time 0.066 (0.085)	Data 0.000 (0.004)	Loss 4.8895 (5.0886)	Prec@1 3.125 (2.315)	Prec@5 14.844 (8.863)
Epoch: [0][160/391], lr: 0.00200	Time 0.067 (0.084)	Data 0.000 (0.004)	Loss 4.7703 (5.0721)	Prec@1 5.078 (2.419)	Prec@5 16.016 (9.154)
Epoch: [0][170/391], lr: 0.00200	Time 0.069 (0.083)	Data 0.000 (0.004)	Loss 4.7711 (5.0543)	Prec@1 3.906 (2.568)	Prec@5 15.625 (9.526)
Epoch: [0][180/391], lr: 0.00200	Time 0.069 (0.082)	Data 0.000 (0.004)	Loss 4.7320 (5.0402)	Prec@1 6.250 (2.665)	Prec@5 17.969 (9.856)
Epoch: [0][190/391], lr: 0.00200	Time 0.069 (0.082)	Data 0.000 (0.003)	Loss 4.7192 (5.0263)	Prec@1 4.688 (2.769)	Prec@5 17.188 (10.211)
Epoch: [0][200/391], lr: 0.00200	Time 0.069 (0.081)	Data 0.001 (0.003)	Loss 4.7388 (5.0107)	Prec@1 4.688 (2.913)	Prec@5 15.625 (10.549)
Epoch: [0][210/391], lr: 0.00200	Time 0.068 (0.080)	Data 0.000 (0.003)	Loss 4.6917 (4.9945)	Prec@1 5.859 (3.062)	Prec@5 19.141 (10.913)
Epoch: [0][220/391], lr: 0.00200	Time 0.066 (0.080)	Data 0.000 (0.003)	Loss 4.8229 (4.9795)	Prec@1 5.078 (3.176)	Prec@5 16.406 (11.272)
Epoch: [0][230/391], lr: 0.00200	Time 0.067 (0.079)	Data 0.000 (0.003)	Loss 4.5735 (4.9633)	Prec@1 5.469 (3.316)	Prec@5 20.703 (11.643)
Epoch: [0][240/391], lr: 0.00200	Time 0.067 (0.079)	Data 0.000 (0.003)	Loss 4.5929 (4.9488)	Prec@1 7.031 (3.431)	Prec@5 17.969 (11.925)
Epoch: [0][250/391], lr: 0.00200	Time 0.069 (0.078)	Data 0.000 (0.003)	Loss 4.5407 (4.9327)	Prec@1 5.859 (3.569)	Prec@5 22.266 (12.298)
Epoch: [0][260/391], lr: 0.00200	Time 0.065 (0.078)	Data 0.000 (0.003)	Loss 4.6872 (4.9198)	Prec@1 3.516 (3.670)	Prec@5 19.141 (12.566)
Epoch: [0][270/391], lr: 0.00200	Time 0.069 (0.078)	Data 0.000 (0.003)	Loss 4.5695 (4.9050)	Prec@1 6.641 (3.810)	Prec@5 22.266 (12.904)
Epoch: [0][280/391], lr: 0.00200	Time 0.066 (0.077)	Data 0.000 (0.003)	Loss 4.4983 (4.8900)	Prec@1 6.250 (3.940)	Prec@5 21.875 (13.273)
Epoch: [0][290/391], lr: 0.00200	Time 0.065 (0.077)	Data 0.000 (0.003)	Loss 4.4991 (4.8775)	Prec@1 7.422 (4.062)	Prec@5 19.141 (13.567)
Epoch: [0][300/391], lr: 0.00200	Time 0.070 (0.077)	Data 0.000 (0.002)	Loss 4.5794 (4.8644)	Prec@1 7.422 (4.185)	Prec@5 19.531 (13.887)
Epoch: [0][310/391], lr: 0.00200	Time 0.065 (0.076)	Data 0.000 (0.002)	Loss 4.4147 (4.8504)	Prec@1 7.812 (4.313)	Prec@5 26.172 (14.187)
Epoch: [0][320/391], lr: 0.00200	Time 0.069 (0.076)	Data 0.000 (0.002)	Loss 4.5377 (4.8379)	Prec@1 6.250 (4.426)	Prec@5 18.359 (14.457)
Epoch: [0][330/391], lr: 0.00200	Time 0.071 (0.076)	Data 0.000 (0.002)	Loss 4.5522 (4.8253)	Prec@1 5.469 (4.527)	Prec@5 20.703 (14.759)
Epoch: [0][340/391], lr: 0.00200	Time 0.064 (0.075)	Data 0.000 (0.002)	Loss 4.5278 (4.8141)	Prec@1 7.812 (4.645)	Prec@5 24.609 (15.050)
Epoch: [0][350/391], lr: 0.00200	Time 0.070 (0.075)	Data 0.000 (0.002)	Loss 4.3783 (4.8012)	Prec@1 11.328 (4.773)	Prec@5 26.562 (15.392)
Epoch: [0][360/391], lr: 0.00200	Time 0.066 (0.075)	Data 0.000 (0.002)	Loss 4.4335 (4.7896)	Prec@1 8.203 (4.890)	Prec@5 24.609 (15.676)
Epoch: [0][370/391], lr: 0.00200	Time 0.069 (0.075)	Data 0.000 (0.002)	Loss 4.3063 (4.7776)	Prec@1 9.766 (5.004)	Prec@5 26.562 (15.925)
Epoch: [0][380/391], lr: 0.00200	Time 0.068 (0.075)	Data 0.000 (0.002)	Loss 4.1536 (4.7653)	Prec@1 13.672 (5.145)	Prec@5 32.031 (16.225)
Epoch: [0][390/391], lr: 0.00200	Time 0.531 (0.076)	Data 0.000 (0.002)	Loss 4.3760 (4.7539)	Prec@1 7.500 (5.264)	Prec@5 23.750 (16.484)
